	G7	G6	D11	E2	E15	D16
ENSTGUG00000000041	20	61	53	48	120	317
ENSTGUG00000000042	868	934	874	636	1140	738
ENSTGUG00000000045	0	0	0	0	0	0
ENSTGUG00000000046	2386	2744	2532	2206	3750	2783
ENSTGUG00000000052	0	1	0	0	0	0
ENSTGUG00000000054	0	0	0	0	0	2
ENSTGUG00000000055	3907	5433	2989	1357	4698	3261
ENSTGUG00000000066	372	447	292	159	400	297
ENSTGUG00000000073	23	23	19	18	66	31
ENSTGUG00000000081	96	105	84	43	101	107
ENSTGUG00000018208	0	0	0	0	0	0
ENSTGUG00000000087	0	1	4	0	1	0
ENSTGUG00000017779	0	0	0	0	0	0
ENSTGUG00000017666	0	0	0	0	0	0
ENSTGUG00000017795	0	0	0	0	0	0
ENSTGUG00000017727	0	0	0	0	0	0
ENSTGUG00000018467	0	0	0	0	0	0
ENSTGUG00000018215	0	0	0	0	0	0
ENSTGUG00000018405	0	0	0	0	0	0
ENSTGUG00000000090	52	90	83	57	146	73
ENSTGUG00000000093	106	98	96	28	93	91
ENSTGUG00000000094	34	15	34	12	22	26
ENSTGUG00000000097	183	177	168	123	243	241
ENSTGUG00000000106	171	226	188	88	279	162
ENSTGUG00000000108	98	128	109	48	189	149
ENSTGUG00000000109	137	158	98	66	164	106
ENSTGUG00000000110	126	137	85	48	172	100
ENSTGUG00000000111	314	400	289	214	336	298
ENSTGUG00000000112	1434	1742	1205	594	1487	1460
ENSTGUG00000000119	321	454	343	160	413	356
ENSTGUG00000000144	1145	1144	921	822	1340	1087
ENSTGUG00000000149	14	12	19	11	20	15
ENSTGUG00000000150	1676	1724	1836	549	1251	1168
ENSTGUG00000000157	8	20	26	10	36	15
ENSTGUG00000000164	404	511	336	184	454	391
ENSTGUG00000000173	24	21	30	10	58	26
ENSTGUG00000000174	27	14	28	9	3	29
ENSTGUG00000000185	0	0	0	0	0	0
ENSTGUG00000000186	38	62	58	33	54	72
ENSTGUG00000000188	3	3	7	4	0	12
ENSTGUG00000017669	0	0	0	0	0	0
ENSTGUG00000000207	0	0	0	0	0	0
ENSTGUG00000000210	4	25	9	3	29	4
ENSTGUG00000000211	118	217	139	70	195	174
ENSTGUG00000000219	231	152	414	66	119	252
ENSTGUG00000000221	175	300	302	196	336	291
ENSTGUG00000000222	0	0	1	0	2	0
ENSTGUG00000000223	3	1	2	0	0	2
ENSTGUG00000000225	3	6	6	0	2	9
ENSTGUG00000000229	12	4	17	20	6	16
ENSTGUG00000000233	3156	3343	3993	3252	4303	3479
ENSTGUG00000000236	1105	762	901	1171	1019	966
ENSTGUG00000000246	137	96	238	102	338	320
ENSTGUG00000000247	259	366	220	185	369	243
ENSTGUG00000000248	10	1	8	9	13	6
ENSTGUG00000000249	2	2	3	1	2	8
ENSTGUG00000000253	0	0	2	0	0	0
ENSTGUG00000000254	0	0	0	0	0	2
ENSTGUG00000000256	0	0	0	1	0	5
ENSTGUG00000000258	3890	3688	4264	5066	5722	7548
ENSTGUG00000000260	47	29	32	40	61	56
ENSTGUG00000000261	566	437	296	343	708	601
ENSTGUG00000000266	5	5	26	8	9	17
ENSTGUG00000000271	8	1	5	1	3	1
ENSTGUG00000000272	75	79	50	83	63	69
ENSTGUG00000000276	1004	1034	1359	1497	1376	1426
ENSTGUG00000000282	75	69	57	87	88	88
ENSTGUG00000000283	271	298	208	312	338	190
ENSTGUG00000000285	20	32	32	27	32	56
ENSTGUG00000017808	1	0	0	0	0	0
ENSTGUG00000018195	0	1	0	0	2	0
ENSTGUG00000018037	0	0	0	0	0	0
ENSTGUG00000000290	33	20	112	27	21	34
ENSTGUG00000000306	1441	1655	1936	1552	2057	1561
ENSTGUG00000000332	0	2	2	0	0	0
ENSTGUG00000000342	48	77	155	108	128	265
ENSTGUG00000000347	112	200	237	124	231	171
ENSTGUG00000000353	89	96	160	128	124	92
ENSTGUG00000000355	0	0	8	0	0	10
ENSTGUG00000000359	368	583	646	166	354	156
ENSTGUG00000000364	2252	2359	2534	2093	2581	2347
ENSTGUG00000000373	1	1	0	0	1	0
ENSTGUG00000000374	1150	938	1478	1200	1123	1319
ENSTGUG00000018051	61	0	87	70	0	67
ENSTGUG00000000377	89	4	2242	84	1	649
ENSTGUG00000000391	626	981	1008	574	1041	1096
ENSTGUG00000000397	0	13	3	3	0	4
ENSTGUG00000000402	677	824	775	766	1367	919
ENSTGUG00000000409	9	29	24	9	47	14
ENSTGUG00000000420	34	35	55	24	84	56
ENSTGUG00000000423	283	278	384	270	391	324
ENSTGUG00000000430	4	1	1	3	9	1
ENSTGUG00000000439	0	2	0	1	0	0
ENSTGUG00000000447	0	0	0	0	0	0
ENSTGUG00000000449	0	0	0	0	0	0
ENSTGUG00000000452	0	0	3	4	0	0
ENSTGUG00000000455	3	0	0	3	0	1
ENSTGUG00000000456	0	0	0	0	0	0
ENSTGUG00000000458	153	256	136	253	206	185
ENSTGUG00000018546	0	0	0	0	0	0
ENSTGUG00000000460	1272	1249	1652	1197	1837	1637
ENSTGUG00000000463	697	830	835	1001	1039	833
ENSTGUG00000000476	15	10	2	4	6	3
ENSTGUG00000000531	248	273	135	208	485	276
ENSTGUG00000000533	55	92	39	90	185	100
ENSTGUG00000000538	636	590	566	726	820	571
ENSTGUG00000000545	446	333	312	599	720	791
ENSTGUG00000000553	0	0	0	0	0	0
ENSTGUG00000000554	30	28	40	47	46	37
ENSTGUG00000000555	84	101	143	102	112	146
ENSTGUG00000000563	0	0	0	0	0	0
ENSTGUG00000000564	2361	2224	2525	2210	3030	2535
ENSTGUG00000000583	114	161	164	148	227	233
ENSTGUG00000000585	4993	4115	4675	3691	5074	5480
ENSTGUG00000000594	1028	1206	1332	892	1501	1199
ENSTGUG00000000608	600	586	670	688	818	524
ENSTGUG00000000616	2809	3051	3172	3008	2947	3377
ENSTGUG00000000633	85	101	112	168	129	73
ENSTGUG00000000635	4098	4630	6403	1924	2416	1946
ENSTGUG00000000646	273	299	213	169	227	162
ENSTGUG00000000647	5005	5310	6476	8102	9758	8838
ENSTGUG00000000682	128	181	200	135	195	170
ENSTGUG00000000689	8	11	10	1	19	17
ENSTGUG00000000691	245	284	278	243	360	275
ENSTGUG00000000695	0	0	0	0	0	0
ENSTGUG00000018257	0	0	0	0	0	0
ENSTGUG00000000696	503	579	526	767	453	490
ENSTGUG00000000697	54	56	24	44	30	32
ENSTGUG00000000698	195	373	572	388	465	480
ENSTGUG00000000702	146	121	183	149	163	139
ENSTGUG00000000706	0	0	5	0	0	0
ENSTGUG00000000708	195	216	242	244	212	205
ENSTGUG00000000717	3547	4464	5300	3119	4854	4169
ENSTGUG00000000727	2134	3167	3115	1731	4195	2741
ENSTGUG00000017561	17	19	33	22	25	25
ENSTGUG00000000737	3024	3873	4572	4424	6631	3795
ENSTGUG00000000738	10	14	5	23	21	18
ENSTGUG00000000746	3024	4044	2769	5158	6093	5055
ENSTGUG00000000751	239	233	163	302	259	112
ENSTGUG00000000754	534	419	469	570	612	484
ENSTGUG00000000764	6878	8689	7823	17119	27889	16390
ENSTGUG00000000783	1261	1564	1894	1625	1690	1437
ENSTGUG00000000811	242	276	299	294	276	314
ENSTGUG00000000820	964	1036	1162	1324	1166	1058
ENSTGUG00000000834	1366	1359	2865	1636	1910	3043
ENSTGUG00000000838	124	255	163	113	251	162
ENSTGUG00000000848	352	404	489	742	1478	798
ENSTGUG00000000852	1234	1527	1461	1667	3142	2977
ENSTGUG00000000889	663	840	931	1023	1129	945
ENSTGUG00000000906	68	102	85	49	117	100
ENSTGUG00000000910	40	79	38	27	49	29
ENSTGUG00000000912	0	4	8	7	4	9
ENSTGUG00000000913	642	865	784	536	910	651
ENSTGUG00000000918	7	10	5	9	9	15
ENSTGUG00000000919	432	413	685	406	331	287
ENSTGUG00000000924	872	1104	1168	908	1344	1091
ENSTGUG00000000932	342	370	537	364	362	350
ENSTGUG00000000947	1260	2454	1381	3119	3859	3022
ENSTGUG00000000968	356	470	507	611	668	607
ENSTGUG00000000995	359	365	421	634	395	485
ENSTGUG00000000998	5744	6979	7304	5595	8160	6922
ENSTGUG00000001011	4036	5287	4700	4596	5338	4111
ENSTGUG00000001020	1093	1202	1332	1730	1687	1621
ENSTGUG00000001026	155	140	196	187	198	213
ENSTGUG00000001028	90	115	180	161	181	176
ENSTGUG00000001045	0	0	0	0	0	0
ENSTGUG00000001046	2068	1572	3624	1071	1226	1081
ENSTGUG00000001048	640	571	858	770	721	985
ENSTGUG00000001055	7	7	11	3	3	0
ENSTGUG00000001062	234	347	294	169	457	289
ENSTGUG00000001068	290	354	403	405	390	417
ENSTGUG00000001077	263	335	379	352	428	398
ENSTGUG00000001078	58	116	164	121	127	91
ENSTGUG00000001094	36	98	74	50	73	56
ENSTGUG00000001101	50	34	40	30	52	60
ENSTGUG00000001105	1319	1724	1682	1494	2302	1651
ENSTGUG00000001110	310	440	439	290	491	407
ENSTGUG00000001111	0	2	0	1	2	1
ENSTGUG00000001113	20	24	20	24	24	98
ENSTGUG00000001114	866	1372	1362	1239	1745	1180
ENSTGUG00000001123	1	4	11	12	6	23
ENSTGUG00000001127	292	394	379	374	467	346
ENSTGUG00000001133	3589	4848	4105	3146	5090	3338
ENSTGUG00000001136	203	234	309	220	271	268
ENSTGUG00000001139	5	12	19	10	6	22
ENSTGUG00000001140	37	10	58	44	7	37
ENSTGUG00000001147	0	1	4	0	0	2
ENSTGUG00000001148	4792	5986	9522	5326	6685	6492
ENSTGUG00000001156	95	103	115	176	121	115
ENSTGUG00000001161	1468	1822	2134	2398	2048	943
ENSTGUG00000001163	303	464	441	474	476	287
ENSTGUG00000001164	275	287	229	247	376	312
ENSTGUG00000001166	500	590	600	985	872	864
ENSTGUG00000001167	729	1042	1301	1605	1459	944
ENSTGUG00000001172	292	309	313	330	377	314
ENSTGUG00000001179	165	211	166	83	219	102
ENSTGUG00000001180	0	0	0	0	1	0
ENSTGUG00000001181	345	417	127	203	346	101
ENSTGUG00000001182	44	29	42	33	34	27
ENSTGUG00000001191	1129	1345	1350	957	1403	1010
ENSTGUG00000001199	238	222	413	157	153	223
ENSTGUG00000001203	166	253	188	209	257	198
ENSTGUG00000001208	2090	2084	2102	2242	2422	1995
ENSTGUG00000001209	282	248	295	245	313	302
ENSTGUG00000001211	1136	1438	1529	1383	1714	1702
ENSTGUG00000001217	18	20	12	8	17	31
ENSTGUG00000001219	5	2	7	11	6	19
