id	Fem4_E2_MSt	Fem5_E2_MSt	Fem6_E2_MSt	Fem4_E2_AreaX	Fem5_E2_AreaX	Fem6_E2_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown1	3779	2865	5556	3574	4304	5938	4438.9717352053885	0.3275103004070265	0.367177348337912	0.89196760608887	0.37241029574326784	0.9998748158320103
unown2	0	1	0	0	0	0	0.14244187807907888	-0.794825950228556	4.080472856796901	-0.1947877067493791	0.8455591465464287	NA
NFYC	3878	6046	3243	3203	6038	3385	4154.51475851473	0.08569187826131387	0.252100081919516	0.33991213969010675	0.7339226942595809	0.9998748158320103
DARS2	619	528	512	475	605	571	547.8257282449835	0.162639768731171	0.2323752695234998	0.6999013667189032	0.48398890383250065	0.9998748158320103
CENPL	133	165	73	96	91	59	98.85901012761246	-0.3976705768574137	0.3816705872526474	-1.0419209395199611	0.2974483350881623	0.9998748158320103
RIMS3	141	287	241	111	188	159	184.65715443111228	-0.4052078221639789	0.371135074031298	-1.0918068663319263	0.27491800037567005	0.9998748158320103
SMAP2	995	1273	1060	760	1360	821	1019.626512857318	-0.050972767629305755	0.22935025518717625	-0.22224857603801706	0.8241203813345228	0.9998748158320103
HIVEP3	189	395	215	103	416	247	251.107403157244	0.06236482986355325	0.4384566986293089	0.14223714692583428	0.8868926910613912	0.9998748158320103
unown3	370	343	150	245	276	146	244.38147134088902	-0.18609980261299383	0.3427369816201619	-0.5429813897913089	0.587142615935593	0.9998748158320103
unown4	70	53	103	53	66	82	72.20439816983293	-0.02803227464480697	0.4839623419499111	-0.057922429525949025	0.9538104169355567	0.9998748158320103
UCK2	1324	2140	944	791	1428	710	1163.2440577157265	-0.4379774544704485	0.2875460914880978	-1.523155652034232	0.1277197682852059	0.9998748158320103
unown5	7439	5593	6914	6104	7122	5895	6473.554341205202	0.08885689736998736	0.22568578922889876	0.39371950566132213	0.6937881387514815	0.9998748158320103
unown6	1102	927	630	844	1242	542	850.6167518904377	0.12415727233096746	0.2645899375667497	0.46924411968480684	0.6388951526360587	0.9998748158320103
unown7	1385	2006	1364	1299	1949	1365	1529.694517014965	0.11105086494061368	0.2139023636252606	0.5191661422459346	0.6036448874157259	0.9998748158320103
unown8	1	1	1	0	0	0	0.46990128702503375	-2.2829658626570715	3.994564368088802	-0.5715181061782103	0.5676484904194283	NA
TET3	435	667	418	260	573	461	457.1319936093789	-0.07322901636477573	0.31027583315920254	-0.23601263307929599	0.81342286727835	0.9998748158320103
unown9	119	75	131	57	48	83	85.92948371935219	-0.6076299974555169	0.4762609411155567	-1.2758342013776136	0.2020141346648122	0.9998748158320103
MGST3	1661	1593	1727	1715	1908	1497	1675.0081157163888	0.18892736769807425	0.21297523053654527	0.887086104905779	0.37503254440843925	0.9998748158320103
unown10	0	0	2	0	0	1	0.5637890959554557	-0.9261277564694174	4.021786602387558	-0.2302776969617473	0.8178759901943982	NA
unown11	71	105	71	108	180	73	98.71161089931991	0.6670118822327301	0.37591193561186054	1.7743833569611323	0.07599976087791976	0.9998748158320103
PBX1	210	238	149	89	186	143	163.415250406963	-0.3505484677179503	0.32320518101418927	-1.0846003972397973	0.2780986790112491	0.9998748158320103
LMX1A	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
RXRG	16	28	24	27	262	40	61.266071976666865	2.250781540619332	0.7248024825732955	3.105372283809365	0.0019003967028456952	0.2966760148498829
unown12	5	0	2	26	0	2	6.329814384498706	2.2600152722882476	1.8351911487721193	1.2314876702627775	0.2181405253087778	NA
unown13	1273	1137	1499	1803	1526	1310	1436.2879166286527	0.3974589930680511	0.27609466847111713	1.4395750387683788	0.1499876658616574	0.9998748158320103
METTL18	337	277	229	291	330	244	280.45109820591017	0.20643240744913224	0.24042216168374586	0.8586247041596601	0.39054760402979266	0.9998748158320103
SLC4A5	34	20	10	13	27	36	23.112140966537094	0.4781458841539525	0.715987567615921	0.6678131098645633	0.5042528971040389	NA
PLPP5	32	55	23	10	21	11	23.748722233619393	-1.2324237538960219	0.634028463108491	-1.943798781294046	0.05191972079900193	NA
C1orf112	174	136	90	106	119	88	115.467957850337	-0.17005419001633956	0.3294699030070157	-0.5161448389193791	0.6057532530550742	0.9998748158320103
SCYL3	696	731	481	486	691	451	572.6766505535438	-0.06668642781083993	0.2050429606151203	-0.32523149105330623	0.7450058766744696	0.9998748158320103
TIA1	104	144	124	67	140	83	107.3485757895672	-0.23958199517358358	0.3588322470735398	-0.6676713063764395	0.5043434297967891	0.9998748158320103
DUSP26	441	431	305	311	763	386	425.5568573742684	0.434284657124006	0.2894172707925213	1.5005485192185988	0.13347237520065597	0.9998748158320103
RNF122	0	2	1	0	4	0	1.0400698345630837	0.3313837349605182	3.212016624529706	0.10316999371354077	0.9178280543496498	NA
unown14	219	275	152	135	224	171	190.15130373568934	-0.11149090914996342	0.2918422033966666	-0.38202462787202507	0.702443097185033	0.9998748158320103
MAK16	302	496	309	173	484	218	316.0102245033611	-0.23232828152711518	0.3475800143207386	-0.6684166866761452	0.5038676468284311	0.9998748158320103
KIFAP3	3496	2565	3225	2771	2503	3142	2964.056513615903	0.0410417197537207	0.2788481885828	0.14718302443458026	0.8829875592076472	0.9998748158320103
unown15	166	78	632	217	65	627	325.3755449906134	0.22192973570647265	1.2531262438530215	0.17710086018476418	0.8594291662765592	0.9998748158320103
METTL11B	3	20	3	8	37	5	11.623930780757517	1.0257450320040515	1.103335016743438	0.9296768582869798	0.35253841983698025	NA
unown16	384	269	257	283	246	171	263.1090514373123	-0.20741968466445346	0.299340409716116	-0.6929224318933854	0.4883582314621688	0.9998748158320103
PRRX1	4	9	4	0	7	2	3.9954416930417382	-0.8583211308232256	1.536999423831225	-0.5584394616646754	0.5765443325592654	NA
unown17	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ATP6V1B2	11914	13159	6427	8206	12071	4885	9012.775195431552	-0.17411659500905052	0.2817143404271818	-0.6180608155943578	0.5365352507340562	0.9998748158320103
LZTS1	331	1129	218	142	594	196	399.4489415077861	-0.7207637019053468	0.5446626969551255	-1.3233212150101226	0.18572857949309143	0.9998748158320103
FMO4	0	5	0	1	5	0	1.6149710512681998	0.34767245342582986	2.812545476558722	0.1236148735455197	0.9016202154288514	NA
GFRA2	45	45	27	24	46	18	32.53410828032823	-0.27959681262524283	0.5335505549156037	-0.5240305910083236	0.6002572630318326	NA
unown18	299	528	217	168	397	214	289.2017249177563	-0.2718084265258657	0.35469196951317	-0.7663224710131848	0.4434844509264821	0.9998748158320103
RHOBTB2	717	1340	493	275	1029	452	674.0523440277957	-0.41233311298675895	0.4084243453925657	-1.009570358961918	0.31270117666850666	0.9998748158320103
