ensembl_gene_id	external_gene_name	Fem4_E2_shelf	Fem5_E2_shelf	Fem6_E2_shelf	Fem4_E2_HVC	Fem5_E2_HVC	Fem6_E2_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000001	C2CD2L	126	98	65	50	98	40	75.42808939159121	-0.4875285008864899	0.3909993944804908	-1.2468778923155481	0.2124422740772629	0.9999562929394967
ENSTGUG00000000002	DPAGT1	2599	2315	1877	2371	2345	1537	2133.5956923014246	0.0440989136223491	0.21349411200240212	0.206557985176907	0.8363550755252728	0.9999562929394967
ENSTGUG00000000003	EGR1	529	3406	1631	526	511	322	1099.9373185658264	-1.8787814731506525	0.49562775470746157	-3.790710781036831	1.502167915127513e-4	0.07786133827928901
ENSTGUG00000000004	REEP2	208	193	85	150	138	99	140.53175401236254	-0.1221329794183911	0.35152188803036843	-0.34744061060527726	0.728260328436799	0.9999562929394967
ENSTGUG00000000005		0	0	1	0	0	2	0.5866806902111518	1.2389544991793162	4.023538703436166	0.3079265767025503	0.7581382024325214	NA
ENSTGUG00000000006	PIAS2	747	814	451	446	756	404	578.9452008748763	-0.17347795985511602	0.24647159045493666	-0.7038456624348097	0.4815288935843831	0.9999562929394967
ENSTGUG00000000007	KDM3B	693	765	519	530	742	619	633.4503157946422	0.10893957835135913	0.21016452712058675	0.518353786168931	0.6042114522038466	0.9999562929394967
ENSTGUG00000000008	H2AFX	8	12	8	13	15	6	10.100238301322348	0.4138780565040855	0.8033833685990794	0.5151688131480691	0.6064350600561674	NA
ENSTGUG00000000010	HMBS	801	639	551	619	741	513	631.7397730020613	0.07175702049268975	0.20546044996319757	0.34924979725072636	0.7269017841975918	0.9999562929394967
ENSTGUG00000000011		67	62	22	46	45	17	40.9080017830462	-0.2980068786808418	0.5473534831714079	-0.544450501994008	0.5861315012779857	0.9999562929394967
ENSTGUG00000000012		41	114	54	18	41	19	45.201409548394004	-1.2965451033302662	0.535501542254116	-2.4211790275573213	0.01547025625396072	0.9824692041468822
ENSTGUG00000000013		461	224	146	373	196	194	261.0461746892313	0.1178518507365805	0.43307747722746215	0.27212648298189385	0.7855247671831704	0.9999562929394967
ENSTGUG00000000014		1343	1219	885	1140	1407	832	1110.0144186951238	0.12800967750168118	0.20259227537286925	0.6318586296840811	0.5274792584814576	0.9999562929394967
ENSTGUG00000000015		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000016	SMAD2	1346	1415	1025	1182	1365	982	1196.239350406856	0.06422143446006749	0.17994028312653038	0.3569041536680715	0.7211635600113522	0.9999562929394967
ENSTGUG00000000017		22	198	5	16	143	5	56.93294358820327	-0.4041271855541488	1.586429322783719	-0.2547401133792862	0.798923832043902	0.9999562929394967
ENSTGUG00000000018	VPS11	2512	2301	2182	2080	2451	1940	2217.984281286142	0.0434974665650349	0.18580495013891196	0.23410284027694211	0.8149051409739665	0.9999562929394967
ENSTGUG00000000019		26	2	7	46	2	4	14.880528564332575	0.8461680280959131	1.2216136420034562	0.6926641934909884	0.4885203147875839	0.9999562929394967
ENSTGUG00000000020		5	14	11	7	3	10	8.484978868675842	-0.36388868736600155	0.9788548411224423	-0.3717493872214335	0.7100794502821879	NA
ENSTGUG00000000021		1726	1656	2442	2167	2319	2104	2091.0073191385072	0.30571349496831474	0.291960042442434	1.0471073110238793	0.2950500877594014	0.9999562929394967
ENSTGUG00000000022		200	180	79	134	182	88	137.5705560654974	-0.011302992231917023	0.35816940955232995	-0.03155767056166088	0.9748248005604617	0.9999562929394967
ENSTGUG00000000023	RANBP3	1617	1308	1096	1310	1296	1029	1255.9960864841642	0.030084381030125108	0.2097560403002689	0.14342557662253191	0.8859540845667481	0.9999562929394967
ENSTGUG00000000024	CXCR5	0	0	1	6	1	1	1.635987132188725	3.108522958545426	2.351344349263504	1.3220194479464855	0.18616167496693942	NA
ENSTGUG00000000025	BCL9L	111	196	124	121	220	111	143.098680807334	0.19200067108375743	0.33739704585178687	0.5690644700193974	0.5693123891345082	0.9999562929394967
ENSTGUG00000000026		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000027	CCDC84	770	702	1084	709	670	928	824.5408443950591	0.009166377973470734	0.3461113768516817	0.02648389676424529	0.978871377615425	0.9999562929394967
ENSTGUG00000000028	ZBTB7C	44	64	10	48	33	24	35.737579558123834	0.07926809959039186	0.6374415486229722	0.12435351878400476	0.9010353742425139	0.9999562929394967
ENSTGUG00000000029	TRAPPC4	6154	3730	4414	5862	4392	3727	4692.135913295212	0.14183411114959837	0.28663914007071406	0.49481766905457436	0.6207288308789767	0.9999562929394967
ENSTGUG00000000030	CTIF	620	946	539	416	865	470	619.288759537537	-0.13171250269787715	0.2795372913095781	-0.47118043564359363	0.6375118886551536	0.9999562929394967
ENSTGUG00000000031	GFRA3	92	60	121	50	53	55	72.00175752057211	-0.6600011540127906	0.45008253829618255	-1.4664002662961975	0.14253927384098408	0.9999562929394967
ENSTGUG00000000032	SLC1A6	59	98	16	47	245	41	77.54032380819123	1.0333590207537462	0.6714368966849532	1.53902626718265	0.12379788375073172	0.9999562929394967
