id	Fem7_Exe_MSt	Fem8_Exe_MSt	Fem9_Exe_MSt	Fem7_Exe_AreaX	Fem8_Exe_AreaX	Fem9_Exe_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown1	3426	3261	2717	2887	3639	2771	3110.5896045135773	0.024754072065796797	0.18185521096735296	0.13611967418541943	0.8917266745354717	0.9999773224878018
unown2	0	0	2	0	4	2	1.2703825099396049	1.6428189721171051	2.9310538325871556	0.5604874785486409	0.5751469780799048	0.9999773224878018
NFYC	5435	5876	7171	5121	5987	5997	5877.668084471526	-0.057997209036735484	0.11323780770387244	-0.5121717755999273	0.6085307945864071	0.9999773224878018
DARS2	255	360	453	234	350	404	336.86404797691443	-0.06391121644074567	0.25071857853994944	-0.2549121681086831	0.7987909378754463	0.9999773224878018
CENPL	85	146	120	76	128	117	110.40421463468748	-0.08647114762027121	0.32207363263674765	-0.26848254205831906	0.788327911162638	0.9999773224878018
RIMS3	217	166	176	222	215	169	194.79686899291463	0.16940111942437258	0.27583894256226066	0.6141305424491917	0.5391290669435697	0.9999773224878018
SMAP2	1386	1949	2033	1337	1754	1816	1691.6077948809416	-0.07897298613025043	0.15929739359987133	-0.4957581812582414	0.6200650326843572	0.9999773224878018
HIVEP3	496	361	350	459	422	397	415.7397456696727	0.12950076771641209	0.24639170076517694	0.5255890004178042	0.5991738008854113	0.9999773224878018
unown3	286	401	478	262	347	415	359.249762428734	-0.1355134406935138	0.2278223388153688	-0.5948206896573748	0.5519633361572631	0.9999773224878018
unown4	89	63	36	98	59	60	68.63943386912366	0.2594328971406089	0.499533106926903	0.5193507568229545	0.6035161642286672	0.9999773224878018
UCK2	2415	2873	2148	1778	2118	1577	2141.3665547779297	-0.3937897244597572	0.18957580064750876	-2.077215146209285	0.03778170654964294	0.9999773224878018
unown5	5720	5550	6050	5118	5984	6018	5705.246987342662	0.02994457238610438	0.10168563421380589	0.29448183725876587	0.768389740215502	0.9999773224878018
unown6	766	720	1130	682	818	1199	874.029827583654	0.09152501369099551	0.22873037814642275	0.40014367323087	0.6890506986986094	0.9999773224878018
unown7	1683	1499	2000	1391	1431	1948	1644.2508831606162	-0.07141071000369259	0.17010880946542523	-0.4197943082906996	0.6746357231932263	0.9999773224878018
unown8	0	0	0	2	0	0	0.3733447242237773	2.0357481047528867	4.027094763974217	0.5055128384274397	0.61319868351335	0.9999773224878018
TET3	1005	758	813	849	748	634	802.9358211034305	-0.1516509808450887	0.22976656444927712	-0.6600219714673364	0.509239729747736	0.9999773224878018
unown9	159	214	156	178	196	149	174.96602769115637	0.03770033646358522	0.2705036199550971	0.13937091292842357	0.8891570561294407	0.9999773224878018
MGST3	2057	2072	1412	1540	2092	1222	1730.9492702847454	-0.15129979816841235	0.2531549833398212	-0.5976568036399895	0.5500689536930065	0.9999773224878018
unown10	0	0	1	0	2	0	0.4753412071415545	0.8896899280387485	4.0432030708393425	0.22004581824134167	0.825835471292625	0.9999773224878018
unown11	148	91	189	115	142	266	156.3405463493897	0.3238203493888988	0.3845184998810859	0.8421450450083461	0.3997067701426822	0.9999773224878018
PBX1	219	216	264	211	212	301	235.2883616867524	0.09923187361267345	0.22496390301597574	0.4411013157325357	0.6591396510266698	0.9999773224878018
LMX1A	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
