ensembl_gene_id	external_gene_name	Fem7_Exe_shelf	Fem8_Exe_shelf	Fem9_Exe_shelf	Fem7_Exe_HVC	Fem8_Exe_HVC	Fem9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000001	C2CD2L	69	91	142	74	143	101	101.91278279289358	0.10720690305897229	0.36465684687771593	0.29399393971868315	0.7687625342555716	0.9998207068924773
ENSTGUG00000000002	DPAGT1	2060	2265	2250	1915	2329	2169	2150.0970533714376	0.005297269955699336	0.1135582487739628	0.04664804197750116	0.9627937417201672	0.9998207068924773
ENSTGUG00000000003	EGR1	5995	1813	254	4019	2105	592	2549.812583658293	-0.21148310409787635	1.2819038977662727	-0.1649757867702776	0.8689630402533897	0.9998207068924773
ENSTGUG00000000004	REEP2	134	175	169	143	159	136	151.6047087554939	-0.07493925622973445	0.23224277437293084	-0.3226763736011803	0.7469403469331222	0.9998207068924773
ENSTGUG00000000005		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000006	PIAS2	605	903	635	638	863	622	704.0263207601917	0.03706472774298424	0.2005153604601792	0.18484732370588142	0.8533487884455061	0.9998207068924773
ENSTGUG00000000007	KDM3B	592	703	676	624	691	742	666.8953811505894	0.10622474231949713	0.13792830770040218	0.7701446069376184	0.4412141181426038	0.9998207068924773
ENSTGUG00000000008	H2AFX	17	11	18	23	9	18	16.20113841139525	0.18063249468272355	0.6926801672753327	0.26077330233554114	0.7942673339172509	0.9998207068924773
ENSTGUG00000000010	HMBS	812	989	821	723	864	768	823.0635483575018	-0.10911432871081496	0.1423418583803836	-0.7665652953555383	0.44334001603265394	0.9998207068924773
ENSTGUG00000000011		13	23	70	21	24	79	37.57849912570438	0.25094758870750566	0.7305810301215268	0.3434904252383372	0.7312295427265199	0.9998207068924773
ENSTGUG00000000012		16	26	42	32	14	28	26.304914618470438	-0.10569617326008865	0.6094136178040158	-0.1734391391530735	0.8623062626548258	0.9998207068924773
ENSTGUG00000000013		168	243	192	193	214	183	197.36668048787718	0.022831638557775393	0.22207132592061393	0.10281218641409494	0.9181120331621593	0.9998207068924773
ENSTGUG00000000014		1083	1523	1403	959	1461	1393	1286.3801280864388	-0.034155273284618044	0.16916035169583646	-0.20191063060705794	0.8399865912157632	0.9998207068924773
ENSTGUG00000000015		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000016	SMAD2	1316	1434	1339	1160	1421	1329	1324.0164134937916	-0.02409236363480954	0.12097317807226342	-0.19915458962661914	0.842141820043123	0.9998207068924773
ENSTGUG00000000017		83	43	4	110	33	1	47.74321172701061	0.2545623424961433	1.6497459683054532	0.15430396399611668	0.8773700719337978	0.9998207068924773
ENSTGUG00000000018	VPS11	1991	1863	2245	1668	1823	2135	1943.209201743125	-0.07988364149835106	0.1536510791875974	-0.5199028989625164	0.6031312547715594	0.9998207068924773
ENSTGUG00000000019		0	4	0	10	1	3	3.1220322390681163	1.9993619303866066	1.9113873068513825	1.046026581436362	0.29554876002697134	0.9998207068924773
ENSTGUG00000000020		3	8	21	3	5	4	7.160554618551153	-1.3670254534493478	1.0610660671301233	-1.2883509291242874	0.19762383209965145	0.9998207068924773
ENSTGUG00000000021		1997	1738	1735	1641	1829	1865	1794.9391173970205	-3.068998982406896e-4	0.1521653980701249	-0.0020168836156775655	0.9983907607931305	0.9998207068924773
ENSTGUG00000000022		155	152	200	122	228	263	184.22215275262243	0.29175842900289367	0.2947301992876673	0.9899169807099643	0.3222146989160526	0.9998207068924773
ENSTGUG00000000023	RANBP3	1149	1215	1280	1180	1176	1186	1193.3530327732224	0.006843674394025919	0.14109807936369362	0.04850295925280246	0.9613154060767384	0.9998207068924773
ENSTGUG00000000024	CXCR5	4	2	2	0	2	0	1.6504622953177446	-2.0261293469977755	2.159406125584453	-0.9382808185048536	0.3481001145744912	0.9998207068924773
ENSTGUG00000000025	BCL9L	141	174	150	135	152	167	151.94705979474756	0.009687991861562637	0.2200391754576535	0.04402848647934099	0.9648816969520274	0.9998207068924773
ENSTGUG00000000026		0	1	0	0	0	1	0.31361699644676744	0.04432518385412151	4.080472856796901	0.010862756697496081	0.9913329445949881	0.9998207068924773
ENSTGUG00000000027	CCDC84	697	839	689	541	610	706	674.034860503141	-0.21842085725251986	0.15270748385026423	-1.430321892191546	0.15262465434617542	0.9998207068924773
ENSTGUG00000000028	ZBTB7C	29	53	22	47	62	26	39.61582867342914	0.4419392232125255	0.5294981256280392	0.8346379369867271	0.4039215953085436	0.9998207068924773
ENSTGUG00000000029	TRAPPC4	4079	4298	4155	3631	4334	4326	4110.619737537724	0.011162768249814587	0.10791916271256889	0.1034363867290689	0.9176166345792793	0.9998207068924773
ENSTGUG00000000030	CTIF	931	1087	1056	937	894	898	962.6643447455849	-0.11902487355895267	0.14951151152183964	-0.7960917012170418	0.4259787373513215	0.9998207068924773
ENSTGUG00000000031	GFRA3	26	28	49	48	47	49	41.11820500424558	0.5323991230260249	0.43876174863631495	1.2134128024622424	0.2249720339987449	0.9998207068924773
ENSTGUG00000000032	SLC1A6	27	74	71	50	73	88	62.69247850787713	0.34497085850507914	0.4370347505751502	0.7893442296089445	0.42991084238404387	0.9998207068924773
ENSTGUG00000000033		127	147	110	148	82	74	115.21800316205803	-0.2559107653568686	0.37870075086813815	-0.67575985727574	0.49919312533125815	0.9998207068924773
ENSTGUG00000000034		90	56	63	50	52	36	57.97150725741198	-0.5623210541759442	0.4085051389431977	-1.376533611377982	0.1686564886904672	0.9998207068924773
ENSTGUG00000000035		278	323	391	235	337	317	310.13700929655414	-0.12186116205115413	0.2052986659852897	-0.593579902072456	0.5527931266214718	0.9998207068924773
ENSTGUG00000000036	SLC37A4	413	638	446	418	574	511	494.0969646583618	0.05257367849345723	0.1940737411311509	0.2708953730011783	0.7864715038292056	0.9998207068924773
ENSTGUG00000000037	CDC23	478	782	740	499	765	759	660.6385268481366	0.05781674190732075	0.21049431484801037	0.2746712753219389	0.7835688016007898	0.9998207068924773
ENSTGUG00000000038		1054	1121	1049	1047	1093	1259	1098.4163007384711	0.11862337567912672	0.13626361271319562	0.8705433043875209	0.38400356458551416	0.9998207068924773
ENSTGUG00000000039	HYOU1	2072	2657	2687	2062	2672	2578	2431.0056929261314	0.02192957671624781	0.13332634344049676	0.16448044812715448	0.8693529372594616	0.9998207068924773
ENSTGUG00000000040	JAKMIP2	1255	1508	1447	1236	1447	1462	1381.8867767025556	0.02143959175827582	0.1185479619697112	0.1808516266500946	0.8564840389766254	0.9998207068924773
ENSTGUG00000000041		9	27	43	15	30	34	25.73482333888741	0.03881670781684815	0.6548257854705797	0.05927791586422207	0.9527307507648988	0.9998207068924773
ENSTGUG00000000042	CHPF2	844	1290	1088	841	1150	998	1022.7180843939259	-0.06114464741406188	0.1684766665087327	-0.36292650300564055	0.7166597880976084	0.9998207068924773
ENSTGUG00000000043	CZH18orf32	6059	3860	3901	5044	4050	3780	4479.784002746876	-0.058685074902288616	0.25791754781050263	-0.22753424650813506	0.8200083426212287	0.9998207068924773
ENSTGUG00000000044	RPL17	5095	5096	5050	4197	5152	5223	4936.090836870706	-0.028899617035547175	0.11699874570052965	-0.24700792185857037	0.8049020932507059	0.9998207068924773
ENSTGUG00000000045		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000046		3072	3711	3296	2900	3509	3313	3274.4011739354505	-0.008081563477046074	0.10986494194062439	-0.0735590747539255	0.9413612364896715	0.9998207068924773
ENSTGUG00000000047	DPYSL3	1349	1961	1432	1438	1676	1518	1548.636138821271	0.018423299486651754	0.15792354178186405	0.11665961438541829	0.9071297947345691	0.9998207068924773
ENSTGUG00000000048		382	288	340	352	383	428	361.6698775997669	0.23506865922413467	0.21058206284091932	1.1162805419078516	0.26430206793120453	0.9998207068924773
ENSTGUG00000000049	RPL36	5390	5222	4599	4832	5685	4765	5064.115114940325	0.047263944641056536	0.14964509024850495	0.315840262868422	0.7521237558161505	0.9998207068924773
ENSTGUG00000000050	PHLDB1	103	94	81	69	119	151	101.66586807535688	0.30248583450505656	0.3339617212911747	0.9057500163059858	0.3650681825422639	0.9998207068924773
ENSTGUG00000000051	LMNB2	348	377	328	295	255	268	310.71014782274233	-0.3111617808946706	0.202354210450949	-1.537708457863281	0.12411991471574903	0.9998207068924773
ENSTGUG00000000052		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000053		144	105	146	180	122	142	140.8526309202722	0.2216805696314176	0.31756754094752065	0.6980580224603347	0.48514090862447196	0.9998207068924773
ENSTGUG00000000054	ASB10	1	0	1	0	0	2	0.6577757296567533	-0.052033927014190455	3.4082057520621585	-0.015267249338660662	0.9878189706790521	0.9998207068924773
ENSTGUG00000000055	AGAP3	4165	5340	4940	3533	4508	4418	4437.13309350454	-0.17078837214139198	0.11831764421406911	-1.4434733997271694	0.14888716050390813	0.9998207068924773
ENSTGUG00000000056	ARCN1	310	368	336	275	384	357	335.09167794305284	0.04070602917831532	0.173230216720559	0.23498226781058065	0.8142224961656547	0.9998207068924773
ENSTGUG00000000057	TMPRSS9	240	238	259	160	258	283	236.95433362861098	-0.04794645194002746	0.2330243707427086	-0.2057572424172192	0.8369805420979068	0.9998207068924773
ENSTGUG00000000058		584	545	385	553	466	418	492.93033606011255	-0.021701353625315934	0.2513282772135225	-0.08634664537519979	0.9311908592623336	0.9998207068924773
ENSTGUG00000000059	IFT46	952	1126	922	922	1141	932	992.6300289175207	0.04266440260410726	0.15151039231005503	0.28159390226379755	0.77825491636761	0.9998207068924773
ENSTGUG00000000060	TMEM25	93	119	96	102	98	104	101.46866552550628	0.03327826033298659	0.26722395045932185	0.12453322494404322	0.9008930954240988	0.9998207068924773
ENSTGUG00000000061	LIPG	71	327	42	75	307	50	140.4133439314395	0.0331895986074308	1.0670533987036734	0.03110397159856452	0.9751866223258754	0.9998207068924773
ENSTGUG00000000062	STK32A	32	13	19	25	32	21	23.819501634402993	0.30486063546002595	0.592933357166475	0.5141566615798134	0.6071424650661517	0.9998207068924773
ENSTGUG00000000063	SPPL2B	590	923	914	660	839	882	791.7056025734564	0.019259811422349078	0.18696956085651065	0.10301041160988753	0.9179547076452707	0.9998207068924773
ENSTGUG00000000064	TTC36	51	42	46	43	56	57	48.93651096387937	0.19660416737809924	0.367163508495642	0.535467612736446	0.592326547323818	0.9998207068924773
ENSTGUG00000000065		1114	984	1103	928	861	963	989.9810526621793	-0.17466925327120428	0.17057630270827553	-1.0239948369025715	0.30583771359574974	0.9998207068924773
ENSTGUG00000000066	FASTK	468	641	501	543	657	516	550.5085303537048	0.14321587996892188	0.18013470386383706	0.7950487990208597	0.42658511640900487	0.9998207068924773
ENSTGUG00000000067	LSM7	1402	1646	1761	1199	1532	1650	1516.5259909925571	-0.09639286403335742	0.14182083833096504	-0.6796805403759278	0.49670676017845994	0.9998207068924773
ENSTGUG00000000068		11	11	6	4	4	14	8.214744336699114	-0.33049008977048483	0.9344086806816969	-0.3536890191659779	0.7235719527978677	0.9998207068924773
ENSTGUG00000000069	PPP2R2B	3335	5662	4126	3556	5079	4123	4257.309725005166	0.009268525132409364	0.18511341645038118	0.05006944018503246	0.9600670523811234	0.9998207068924773
ENSTGUG00000000070		314	393	369	279	440	393	360.43623958462484	0.08256027921209702	0.19007974029600005	0.43434549670328215	0.6640375700792005	0.9998207068924773
ENSTGUG00000000071		20	29	7	19	29	20	20.466022442573568	0.32507041139424764	0.6600517794259486	0.492492288524642	0.622371372074987	0.9998207068924773
ENSTGUG00000000072		6	13	107	14	23	80	39.51971843767696	-0.09436290967137935	0.9513211176688466	-0.09919143801055295	0.9209862728113659	0.9998207068924773
ENSTGUG00000000073		17	50	36	29	24	31	30.7030717057877	-0.2199915960868237	0.5285439269569762	-0.41622197298415115	0.6772475824721791	0.9998207068924773
ENSTGUG00000000074		5	4	21	6	10	18	10.498655658350422	0.19777033807086827	0.9438791420363568	0.20952930228354433	0.8340350631001403	0.9998207068924773
ENSTGUG00000000075		0	0	0	0	0	3	0.480707723902122	2.4220554654516637	3.9987563584906454	0.6057021854579515	0.5447125325266454	0.9998207068924773
ENSTGUG00000000076	ATP5MG	7945	6741	7206	6533	7122	7159	7098.071416000357	-0.036383025295602577	0.14836463916326487	-0.2452270669129294	0.8062806197412459	0.9998207068924773
ENSTGUG00000000077		1	4	5	14	7	12	7.255665014530908	1.806943968270024	1.012946726659044	1.7838489633406338	0.07444821089056745	0.9998207068924773
ENSTGUG00000000078		1	0	12	1	1	0	2.4695286697645518	-2.6319911196843573	2.2038473563532692	-1.194271060605369	0.23237195404399416	0.9998207068924773
ENSTGUG00000000079	TCERG1	882	896	920	719	728	895	835.017007523358	-0.16313109656559882	0.15347292360291953	-1.0629307941488615	0.28781333684794896	0.9998207068924773
ENSTGUG00000000080	MARCH2	357	529	380	353	399	414	401.25160570696244	-0.06794725388264536	0.18692700592711195	-0.36349618689735974	0.7162342608314967	0.9998207068924773
ENSTGUG00000000081		102	129	125	103	147	99	116.49065066971647	0.015553523356913807	0.27358112961648595	0.0568515941823809	0.9546634141509198	0.9998207068924773
ENSTGUG00000000082		397	486	514	320	601	546	470.63199744145413	0.0975438469495924	0.22150735085774043	0.4403639273002654	0.6596735468890955	0.9998207068924773
ENSTGUG00000000083	UBE4A	877	1306	1054	862	1170	1129	1053.5319040911904	0.010324457585815516	0.1620397831672972	0.06371557270695728	0.9491967047156327	0.9998207068924773
