ensembl_gene_id	external_gene_name	Fem1_Veh_shelf	Fem2_Veh_shelf	Fem3_Veh_shelf	Fem1_Veh_HVC	Fem2_Veh_HVC	Fem3_Veh_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000001	C2CD2L	69	82	73	46	81	58	66.84521244073775	-0.3234084958256401	0.3443024289908726	-0.9393151735046679	0.3475689504143533	0.9999708890604252
ENSTGUG00000000002	DPAGT1	2500	2058	1914	1946	2419	1956	2119.2493836369736	-0.04511568434186926	0.22769393108724123	-0.1981417955517801	0.8429341249135779	0.9999708890604252
ENSTGUG00000000003	EGR1	819	2490	472	2681	2293	888	1637.994961106008	0.686730438534514	0.8531008608039904	0.804981532766614	0.42083033662322944	0.9999708890604252
ENSTGUG00000000004	REEP2	145	126	137	74	136	112	119.25226601604311	-0.39358123635018005	0.28564592145252526	-1.3778640155224264	0.16824527686561633	0.9999708890604252
ENSTGUG00000000005		2	0	0	0	0	0	0.3376592068892803	-1.8913026725276962	4.035874989424732	-0.4686227094455371	0.6393393419417447	0.9999708890604252
ENSTGUG00000000006	PIAS2	618	522	653	417	538	571	548.1862782216498	-0.24960363460855678	0.23061367585991807	-1.0823453278641368	0.2790991118048806	0.9999708890604252
ENSTGUG00000000007	KDM3B	513	538	580	393	910	591	568.0421098237954	0.1381048452248045	0.23234685441972502	0.5943908540088251	0.5522507242533259	0.9999708890604252
ENSTGUG00000000008	H2AFX	21	14	9	11	38	25	18.663438976159327	0.640143403608732	0.6578353430691442	0.9731058240533718	0.3305007097576205	0.9999708890604252
ENSTGUG00000000010	HMBS	638	784	717	440	945	639	674.5373976973075	-0.14922277164835304	0.22368264438709845	-0.6671182382398547	0.5046966112497087	0.9999708890604252
ENSTGUG00000000011		2	96	70	9	71	66	49.510475006788056	-0.33842387672936686	0.8952537824586975	-0.378020046784868	0.7054157018641416	0.9999708890604252
ENSTGUG00000000012		4	44	41	12	22	49	27.973163107268277	-0.13938442104605347	0.8026982078347722	-0.1736448638922892	0.8621445713017009	0.9999708890604252
ENSTGUG00000000013		223	102	289	154	108	323	200.52830316124698	-0.04697487943482613	0.4871899010827275	-0.09642005987897016	0.9231869608692153	0.9999708890604252
ENSTGUG00000000014		1228	1355	975	832	1476	923	1109.062650399946	-0.19088978231895923	0.23298183839673947	-0.8193333164188419	0.41259626916805797	0.9999708890604252
ENSTGUG00000000015		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000016	SMAD2	1375	1235	1157	1042	1481	1273	1245.1910520958197	-0.015980023062579195	0.19936361377137435	-0.08015516352399552	0.9361138496933153	0.9999708890604252
ENSTGUG00000000017		19	35	2	3	50	10	18.122697261291442	-0.06789901475618175	1.0149546500369062	-0.06689857005306865	0.946662451422437	0.9999708890604252
ENSTGUG00000000018	VPS11	2354	1992	2039	1807	2284	1837	2037.9110851976839	-0.11941506440288081	0.2141761817916532	-0.557555295850057	0.5771480901066424	0.9999708890604252
ENSTGUG00000000019		1	5	4	0	0	14	3.9033275537002434	0.4520083283895171	1.8053966143957252	0.2503651135630419	0.8023050059788323	0.9999708890604252
ENSTGUG00000000020		2	2	1	0	18	0	3.191033667875208	1.5300863878891093	1.9257733054913495	0.7945308949532442	0.4268864305023771	0.9999708890604252
ENSTGUG00000000021		2312	1685	1904	1758	2246	1810	1938.2225790464079	-0.03558998642794112	0.22926630203978526	-0.1552342673620002	0.8766366342729115	0.9999708890604252
ENSTGUG00000000022		120	152	150	81	107	189	131.52997244174233	-0.18538802295470613	0.36618516917433136	-0.5062685181180772	0.6126681603940913	0.9999708890604252
ENSTGUG00000000023	RANBP3	1554	939	948	1477	1306	1039	1223.634754121988	0.1826679824732095	0.32944551389195614	0.5544709967825414	0.5792565494019831	0.9999708890604252
ENSTGUG00000000024	CXCR5	1	3	0	0	3	0	1.0584409655858975	-0.6953904388503445	2.8346594883754386	-0.24531709776854968	0.8062109140546172	0.9999708890604252
ENSTGUG00000000025	BCL9L	91	134	119	56	148	113	106.4387380081269	-0.2002456693868097	0.34253207347282927	-0.5846041433626327	0.558813921056325	0.9999708890604252
ENSTGUG00000000026		0	0	0	2	0	0	0.4230029602263721	2.1660520044920424	4.013554155491369	0.5396842600288417	0.589414796643263	0.9999708890604252
ENSTGUG00000000027	CCDC84	637	812	588	458	1073	678	684.735728439937	0.03646296161801008	0.25235316591925394	0.1444917938127918	0.8851121360430476	0.9999708890604252
ENSTGUG00000000028	ZBTB7C	16	30	20	5	11	20	16.656951438860894	-0.9278583249013491	0.7068844612765837	-1.3126025195485302	0.18931692017461194	0.9999708890604252
ENSTGUG00000000029	TRAPPC4	4892	4222	4168	3820	5438	3850	4346.89395179329	-0.04475713619688474	0.2069780239566702	-0.2162410063700986	0.8287998911399015	0.9999708890604252
ENSTGUG00000000030	CTIF	452	756	642	293	797	631	574.4508853180805	-0.19267391606542028	0.29862924208200053	-0.6451944046809521	0.5188012117246186	0.9999708890604252
ENSTGUG00000000031	GFRA3	54	37	36	51	53	24	42.72658851432365	0.02209814479657391	0.5083147783586349	0.04347334710182841	0.965324210365115	0.9999708890604252
ENSTGUG00000000032	SLC1A6	28	19	38	28	28	50	31.72748454071786	0.3183723237588701	0.5410446824266861	0.5884399830544697	0.5562370070908682	0.9999708890604252
ENSTGUG00000000033		88	97	97	55	119	89	88.3345173245562	-0.16626845851109504	0.3191171919184201	-0.5210263273863363	0.6023484312495626	0.9999708890604252
ENSTGUG00000000034		40	49	28	20	61	52	40.03515173355906	0.09231338105911553	0.48668868964183226	0.18967644620435192	0.8495626789376448	0.9999708890604252
ENSTGUG00000000035		433	268	313	324	325	268	322.9275754394827	-0.13221563701261724	0.31249210034296176	-0.42310073396258613	0.6722217669054837	0.9999708890604252
ENSTGUG00000000036	SLC37A4	398	369	369	248	667	400	392.8769508846968	0.11687254275996373	0.26615975292781713	0.43910674500685953	0.6605841919731769	0.9999708890604252
ENSTGUG00000000037	CDC23	676	608	763	552	762	667	663.5687506430412	-0.06951592134380026	0.21215567086196996	-0.3276646863190748	0.7431652068002597	0.9999708890604252
ENSTGUG00000000038		1199	808	963	1148	1282	1047	1073.0335132173343	0.22933244707154576	0.2629336505247288	0.8722065304835418	0.38309571753039773	0.9999708890604252
ENSTGUG00000000039	HYOU1	2016	2418	2403	1816	2694	2482	2270.331048282167	0.0028923831943587497	0.19059980447164723	0.01517516349178106	0.9878924360436109	0.9999708890604252
ENSTGUG00000000040	JAKMIP2	1546	1330	1356	1074	2056	1289	1407.051961492075	0.0020179143734465827	0.2117388275608808	0.009530204718198773	0.9923961118978379	0.9999708890604252
ENSTGUG00000000041		53	32	13	22	50	15	29.990200651694156	-0.2606180005509564	0.6524057188113379	-0.39947228087729514	0.6895452441783615	0.9999708890604252
ENSTGUG00000000042	CHPF2	798	1080	816	560	1231	929	876.2541706510204	-0.057865768641491365	0.23944588450936247	-0.24166532976777383	0.809039496187973	0.9999708890604252
ENSTGUG00000000043	CZH18orf32	4161	3289	3357	4066	4254	3164	3722.8175749610964	0.1004315600176751	0.2640164895692808	0.3803988159282027	0.7036493934333365	0.9999708890604252
ENSTGUG00000000044	RPL17	4856	4059	4901	3860	5332	4699	4564.992291154797	-0.014697207705430527	0.19487894434944192	-0.07541711473496401	0.9398828423991904	0.9999708890604252
ENSTGUG00000000045		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000046		2835	2584	2738	2138	3254	2871	2694.9827209143104	-0.015215822485862514	0.1802117917198039	-0.08443300152922463	0.9327121695307702	0.9999708890604252
ENSTGUG00000000047	DPYSL3	695	1607	1238	391	1252	1466	1068.5669475967425	-0.27945755515352705	0.39603667865557135	-0.7056355388652478	0.4804148174223296	0.9999708890604252
ENSTGUG00000000048		405	315	355	378	469	366	378.9102398920926	0.16316846258120335	0.2504603930034127	0.6514741138291676	0.5147404819517606	0.9999708890604252
ENSTGUG00000000049	RPL36	6022	4049	5401	5049	6311	4596	5205.244507920186	0.03483165294062221	0.24861993694187426	0.14009999909526816	0.8885809813080435	0.9999708890604252
ENSTGUG00000000050	PHLDB1	43	120	47	42	103	69	68.29418849745737	-0.05235701516098871	0.481873802554942	-0.10865296034643655	0.9134777530841074	0.9999708890604252
ENSTGUG00000000051	LMNB2	231	233	383	195	296	306	269.5211591594821	-0.11832054761652996	0.2933360221285335	-0.40336180588378084	0.6866820800808833	0.9999708890604252
ENSTGUG00000000052		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000053		106	151	179	109	174	134	139.6027313182154	-0.09953631188783789	0.30481116165459604	-0.32655074488587726	0.7440077026348056	0.9999708890604252
ENSTGUG00000000054	ASB10	3	2	0	1	2	0	1.3110645318746115	-0.8169000417631096	2.3313971523595862	-0.3503907693017178	0.7260454528934337	0.9999708890604252
ENSTGUG00000000055	AGAP3	2385	4670	2979	1385	3947	4093	3131.8254427622683	-0.17939215530406757	0.3433861483589528	-0.5224210590945069	0.6013771965636212	0.9999708890604252
ENSTGUG00000000056	ARCN1	216	240	281	226	281	253	247.5126967528438	0.033608667579353005	0.25374489249558646	0.13245061703040026	0.8946278807003913	0.9999708890604252
ENSTGUG00000000057	TMPRSS9	360	310	268	267	504	222	314.1866489119726	0.021465877753162766	0.30281472717159447	0.07088782620865995	0.9434870322787537	0.9999708890604252
ENSTGUG00000000058		542	366	438	522	619	438	485.76329819616717	0.22584203793787266	0.2778832141059662	0.8127228507287652	0.41637697691289655	0.9999708890604252
ENSTGUG00000000059	IFT46	710	733	555	522	719	681	646.2147697952363	-0.08049123144263708	0.2278340130947876	-0.35328891568595455	0.7238718544606458	0.9999708890604252
ENSTGUG00000000060	TMEM25	85	87	106	23	122	100	83.04109219783359	-0.31011886437625746	0.46148706259917277	-0.6719990428975752	0.5015843056300688	0.9999708890604252
ENSTGUG00000000061	LIPG	226	70	68	180	187	94	138.56897831503957	0.35003437337763216	0.5194601069787321	0.6738426467693377	0.5004113583546954	0.9999708890604252
ENSTGUG00000000062	STK32A	22	11	3	12	18	22	14.461615602319831	0.48731016436788116	0.8120920325477257	0.6000676583897435	0.5484611455352929	0.9999708890604252
ENSTGUG00000000063	SPPL2B	653	703	594	512	849	591	638.4535156261992	-0.04167451062208907	0.21033236392018692	-0.19813646290735815	0.8429382970421079	0.9999708890604252
ENSTGUG00000000064	TTC36	43	125	66	10	116	77	68.45476219968455	-0.3746960299892899	0.6320566044804704	-0.5928203697788708	0.5533013739883889	0.9999708890604252
ENSTGUG00000000065		706	885	782	489	1031	775	756.8856289620836	-0.11515068144830677	0.2211467515297657	-0.5206980462148358	0.602577135664794	0.9999708890604252
ENSTGUG00000000066	FASTK	283	470	320	196	450	439	348.9955410863284	-0.0554248525160777	0.3081231139635722	-0.17987891853718668	0.8572476258061899	0.9999708890604252
ENSTGUG00000000067	LSM7	1783	1536	1694	1365	1853	1526	1609.5675340854382	-0.10017377635107755	0.19909844615245875	-0.5031369068263342	0.61486802010512	0.9999708890604252
ENSTGUG00000000068		19	11	5	14	18	14	13.41865970064129	0.3698503449858914	0.7574320636725573	0.48829507321435506	0.6253408507074139	0.9999708890604252
ENSTGUG00000000069	PPP2R2B	2807	3471	3199	1998	4031	3956	3159.2738114782583	0.0139907719520774	0.22821497756659728	0.061305231152037946	0.9511161247837286	0.9999708890604252
ENSTGUG00000000070		356	306	222	324	391	237	304.9795543863194	0.10028825256743067	0.3157181356643457	0.31765122505997456	0.7507495130102342	0.9999708890604252
ENSTGUG00000000071		6	2	4	7	9	8	5.945621125950774	0.978098563327845	1.0236246875223947	0.955524593389065	0.33931247446387786	0.9999708890604252
ENSTGUG00000000072		55	9	5	50	21	3	25.403176203577974	0.24261202501501233	1.0311931554122338	0.23527311419946811	0.8139967612473394	0.9999708890604252
ENSTGUG00000000073		16	39	21	12	60	11	24.763682510931847	-0.034569413124296254	0.7103584976577735	-0.048664742152420365	0.9611864742536276	0.9999708890604252
ENSTGUG00000000074		10	3	11	4	6	5	6.422293430316076	-0.7121725557782358	1.0099810236582263	-0.7051345907457686	0.4807264818756862	0.9999708890604252
ENSTGUG00000000075		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000076	ATP5MG	7247	6157	7722	5414	8550	7317	6949.2372887883985	-0.026704765203741654	0.18899254212974284	-0.14130062965875612	0.8876324522102618	0.9999708890604252
ENSTGUG00000000077		5	6	7	3	10	5	5.7324005998175505	-0.09865121956805352	1.008483708919578	-0.09782133186240742	0.9220741682430149	0.9999708890604252
ENSTGUG00000000078		0	6	2	0	10	1	2.7916769308311946	0.19105889562313266	1.916429092309555	0.09969525947494409	0.9205862641840864	0.9999708890604252
ENSTGUG00000000079	TCERG1	753	846	960	583	941	862	809.5918165532655	-0.13921207972712693	0.20666015992097342	-0.6736280460653928	0.5005478178862113	0.9999708890604252
ENSTGUG00000000080	MARCH2	252	351	298	183	375	334	290.9973103721291	-0.07588773936028317	0.2625030858913481	-0.28909275143414376	0.7725104004121668	0.9999708890604252
ENSTGUG00000000081		34	111	99	48	106	128	84.95191169773494	0.14879032530630623	0.4844091207011384	0.3071583893609305	0.7587228160075483	0.9999708890604252
ENSTGUG00000000082		383	438	428	333	563	368	410.62592688743	-0.026764202653775916	0.22273676447515006	-0.12016068706413262	0.9043558592538146	0.9999708890604252
ENSTGUG00000000083	UBE4A	616	1091	844	509	1069	1097	846.9427311255033	0.005574100110050944	0.2908700600744371	0.01916354027164042	0.9847106429064955	0.9999708890604252
ENSTGUG00000000084		6755	4041	5495	6543	4801	5405	5591.320564826245	0.08937501631694998	0.3237035288828125	0.2761014581008958	0.7824701407863923	0.9999708890604252
ENSTGUG00000000085		178	294	371	130	357	368	272.9232806743954	-0.06108541544928949	0.3673416236738867	-0.16629048142804267	0.8679283564780019	0.9999708890604252
ENSTGUG00000000086	ANGPTL4	111	174	171	98	137	159	139.79038031363783	-0.23458142700062243	0.31853391956591093	-0.7364409646555173	0.46146238241143533	0.9999708890604252
ENSTGUG00000000087		3	0	1	0	4	1	1.3552203192762504	0.08020292330106711	2.324674625795881	0.03450070922231048	0.9724778768087138	0.9999708890604252
ENSTGUG00000000088		11	35	28	23	47	25	27.278738351116555	0.3007791111085585	0.5851921921837576	0.5139834658185427	0.6072635505959872	0.9999708890604252
ENSTGUG00000000089		44	58	47	14	91	49	47.490191312621135	-0.10428804273310739	0.5303866912509814	-0.1966264320983081	0.8441198845643213	0.9999708890604252
ENSTGUG00000000090		48	143	65	11	124	54	69.67411431153897	-0.6267268277009238	0.6310364468539974	-0.9931705701397138	0.3206268377414721	0.9999708890604252
ENSTGUG00000000091		41	71	56	46	59	34	50.770645970435474	-0.2862276859128203	0.4360123985560157	-0.6564668501646928	0.5115237900217064	0.9999708890604252
ENSTGUG00000000092		1103	1420	1224	779	1663	1347	1220.9841583581626	-0.051882129234186884	0.22385042160525714	-0.2317714162079042	0.8167155591401101	0.9999708890604252
ENSTGUG00000000093		57	139	86	44	107	103	86.60404562811829	-0.22319306511864845	0.4271789788138651	-0.5224813864633083	0.60133520297792	0.9999708890604252
ENSTGUG00000000094		16	30	7	11	21	8	15.177553031701965	-0.4666398325175291	0.7698144429677375	-0.6061718337195263	0.5444006542893227	0.9999708890604252
ENSTGUG00000000095	RPS28	1240	624	1204	919	980	1110	1011.0882278434699	-0.024565686269742013	0.31327628380931866	-0.07841540371659403	0.9374976208660525	0.9999708890604252
ENSTGUG00000000096	RNF38	31	53	48	30	87	31	44.59594358354808	0.06433288321521596	0.49024446328093496	0.13122612907175243	0.895596426673728	0.9999708890604252
ENSTGUG00000000097	CDC25A	141	230	262	70	234	278	194.95341838686545	-0.2129756352540805	0.41424893430190657	-0.5141247632006287	0.6071647652185065	0.9999708890604252
ENSTGUG00000000098		128	119	147	80	196	173	135.80478742413055	0.11232260385931118	0.31375839772399494	0.3579907491691057	0.7203502364963033	0.9999708890604252
ENSTGUG00000000099	USP28	552	571	585	448	661	543	552.1897127308398	-0.07786476841466138	0.19917065132404815	-0.39094499062503124	0.6958378973917023	0.9999708890604252
ENSTGUG00000000100		5	0	3	3	1	5	2.9051787997436223	0.21821335551580567	1.623707373602593	0.13439204567485938	0.8930925712086535	0.9999708890604252
