id	Mal4_E2_MSt	Mal5_E2_MSt	Mal6_E2_MSt	Mal4_E2_AreaX	Mal5_E2_AreaX	Mal6_E2_AreaX	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
unown1	3866	3108	2722	3750	3792	3340	3419.859261676982	-0.023426335806404307	0.23011509290181784	-0.10180269147491128	0.9189132892641986	0.999646313058517
unown2	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
NFYC	5794	4529	5211	6278	4071	6951	5386.266255879792	-0.0430574262521552	0.21028333614960212	-0.20475909808432374	0.8377603448746318	0.999646313058517
DARS2	451	290	430	420	451	508	415.9671130713814	0.06572177190188952	0.1994665728086855	0.32948764786230766	0.7417871287996536	0.999646313058517
CENPL	87	50	87	87	50	86	72.83176335473067	-0.17192323419265773	0.3871651920632137	-0.44405653637527226	0.6570017091689802	0.999646313058517
RIMS3	209	65	165	158	63	201	137.7618893760841	-0.21148051646100613	0.45494489161565305	-0.4648486450962709	0.6420398490801758	0.999646313058517
SMAP2	1303	989	1594	1099	1279	1609	1286.3760857109553	-0.14112876435475624	0.1856647664583473	-0.7601267975979576	0.44717879592090987	0.999646313058517
HIVEP3	339	481	319	220	312	348	343.76490361638406	-0.6218254512525809	0.3257969601577452	-1.9086287697451318	0.05630999786902981	0.671225506708536
unown3	225	116	351	217	214	364	237.47739200420276	0.0494383438166355	0.3400704367640325	0.14537677631454832	0.8844133996753658	0.999646313058517
unown4	40	60	86	55	57	60	59.5119759725752	-0.30295964391218777	0.43794004781811074	-0.6917833740521847	0.489073379160662	0.999646313058517
UCK2	2332	1466	2233	2464	791	1826	1828.5780121164723	-0.4149311202093399	0.3372106866811787	-1.2304803394372945	0.2185172848731147	0.999646313058517
unown5	5719	3976	5299	6092	7370	6135	5668.50070042614	0.22221661427704828	0.1899177540301704	1.1700676190691834	0.2419737581735143	0.999646313058517
unown6	729	619	671	1030	877	954	800.7171376749344	0.31522335292620124	0.20084823199682067	1.569460431850807	0.11654069231690353	0.9036855434171964
unown7	1280	1055	1366	1397	1351	1738	1339.218412941538	0.08817297691199975	0.16066101534410512	0.5488137661967972	0.5831332620458796	0.999646313058517
unown8	6	0	0	0	0	0	0.9772701393925985	-3.523232075065696	3.954758585644797	-0.8908842344649102	0.3729912789677246	NA
TET3	781	745	684	802	469	793	711.7970353163946	-0.31263688446535853	0.26255323760148064	-1.1907561579564214	0.23374932467171444	0.999646313058517
unown9	159	61	97	109	104	69	98.59860575271911	-0.2934752901161672	0.41658929993800353	-0.7044715026522331	0.48113919090834867	0.999646313058517
MGST3	2266	1907	1294	3331	1747	2002	2087.8555606505633	0.17311615797969673	0.32690873805060694	0.5295550036747491	0.5964204988898871	0.999646313058517
unown10	0	0	0	0	0	0	0	NA	NA	NA	NA	NA
unown11	127	19	114	312	47	175	125.3708592093589	0.9514583602066897	0.6494604824784042	1.4649980805234406	0.14292144144727603	0.9707152580891049
PBX1	142	228	209	163	148	209	184.6389136628538	-0.390166170460325	0.33115715232287435	-1.1781903779626584	0.2387207176743403	0.999646313058517
