ensembl_gene_id	external_gene_name	Mal4_E2_shelf	Mal5_E2_shelf	Mal6_E2_shelf	Mal4_E2_HVC	Mal5_E2_HVC	Mal6_E2_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000001	C2CD2L	33	82	56	64	84	57	60.46562398431804	0.10637902238653812	0.39259799432160075	0.270961706185887	0.786420484844842	0.9993175818296149
ENSTGUG00000000002	DPAGT1	1125	1840	1760	1697	1649	1725	1604.6249058687995	-0.052674792669643554	0.19064348174398327	-0.276299992991006	0.7823176612988714	0.9993175818296149
ENSTGUG00000000003	EGR1	4283	388	1832	538	283	380	1469.0567652567875	-2.755956212451056	1.0033498251841668	-2.746755063165726	0.006018806539880582	0.18981503977712058
ENSTGUG00000000004	REEP2	44	132	103	166	187	105	117.12086726158884	0.5754034324838775	0.3725422600686844	1.5445319743800132	0.12245951143685439	0.8881192471505011
ENSTGUG00000000005		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000006	PIAS2	743	1136	1207	1022	1288	1102	1059.7996996407376	-0.024606122269905824	0.18244028278223998	-0.13487219979414083	0.8927129200346864	0.9993175818296149
ENSTGUG00000000007	KDM3B	392	622	722	656	894	640	634.9294072134477	0.1640556670943357	0.21537118292625498	0.7617345313579386	0.44621846135699855	0.9993175818296149
ENSTGUG00000000008	H2AFX	8	5	31	11	22	43	19.422242241170096	0.6445983066974499	0.828962423787556	0.7775965329673925	0.43680690558646107	0.9993175818296149
ENSTGUG00000000010	HMBS	521	596	688	539	670	696	612.042609610698	-0.1073983821343039	0.21005154386716915	-0.5112953713980779	0.6091442455921744	0.9993175818296149
ENSTGUG00000000011		97	48	84	80	77	66	76.59092989594664	-0.27732334106392376	0.4267660491438927	-0.6498252183374096	0.5158051273165204	0.9993175818296149
ENSTGUG00000000012		39	25	50	61	29	39	40.83318192813849	-0.003218687425411916	0.531071092132387	-0.006060746806021879	0.9951642533015246	0.999801984129451
ENSTGUG00000000013		250	304	280	379	424	322	320.2775731547134	0.23949975117227532	0.21651597335272793	1.1061528046344384	0.26866038647465634	0.9993175818296149
ENSTGUG00000000014		1144	1452	1790	1181	2006	1633	1502.4084547526936	-0.05298365593311422	0.217881596783004	-0.24317637063162575	0.8078687710291604	0.9993175818296149
ENSTGUG00000000015		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000016	SMAD2	1131	1488	1441	1130	1542	1275	1317.4421027140686	-0.22886375189099603	0.17098139104748175	-1.33853017857037	0.18072366945406532	0.9826231273527518
ENSTGUG00000000017		6	18	25	5	20	21	15.194823193354662	-0.23161062441337088	0.7932707969800621	-0.2919691803796379	0.7703101882656966	0.9993175818296149
ENSTGUG00000000018	VPS11	1281	1804	1793	1999	1839	1707	1710.749633795936	0.01770177969947078	0.18363106748080896	0.09639861022602164	0.9232039958637975	0.9993175818296149
ENSTGUG00000000019		0	0	0	2	3	0	0.7423858259053389	2.935017420342301	3.643746276908265	0.8054944546887267	0.42053440507689166	NA
ENSTGUG00000000020		1	3	30	10	10	26	12.846474621411216	0.3668829934166056	1.0821230811737836	0.33903998519156064	0.7345796083215805	0.9993175818296149
ENSTGUG00000000021		1501	1564	2234	2074	1840	2363	1911.9662377120321	0.07326929545801732	0.23855184937313398	0.30714201399215396	0.7587352796565295	0.9993175818296149
ENSTGUG00000000022		96	188	115	161	166	82	131.5376888366045	-0.13442382424375832	0.35415244611366203	-0.3795648617392754	0.7042684483549763	0.9993175818296149
ENSTGUG00000000023	RANBP3	599	1177	844	1037	1275	757	920.3925283594983	0.05987755672573168	0.23777975724396808	0.2518194038876732	0.8011806584018804	0.9993175818296149
ENSTGUG00000000024	CXCR5	6	2	6	0	0	0	2.5807849609357376	-4.910804147818673	2.083162326072287	-2.357379492877918	0.018404427750821212	NA
ENSTGUG00000000025	BCL9L	145	97	140	146	199	202	153.58587842226189	0.29253259895652417	0.33280333246247773	0.8789954018549561	0.37940376897734895	0.9993175818296149
ENSTGUG00000000026		1	0	0	0	0	0	0.2147983580961816	-1.1511460543625909	4.080472856796901	-0.2821109451678157	0.7778584409263727	NA
ENSTGUG00000000027	CCDC84	545	550	960	648	694	829	697.3047454313867	-0.09236075082703073	0.26968388265490134	-0.3424778296640714	0.7319913257299111	0.9993175818296149
ENSTGUG00000000028	ZBTB7C	20	24	26	19	36	44	27.566253058808634	0.31440309473374933	0.5435148533673713	0.578462746300033	0.5629517419060583	0.9993175818296149
ENSTGUG00000000029	TRAPPC4	3238	3569	4365	4217	3966	3921	3846.1916552978905	-0.06477951560144987	0.1932624060738175	-0.3351894293228815	0.7374821954606403	0.9993175818296149
ENSTGUG00000000030	CTIF	796	810	1002	761	1067	931	885.4448430812489	-0.1199117091859798	0.20939083751787374	-0.5726693231060985	0.5668686121356531	0.9993175818296149
ENSTGUG00000000031	GFRA3	17	31	75	51	50	67	46.95391187186241	0.3291966636235275	0.5348885974258915	0.6154490209882209	0.5382582262205788	0.9993175818296149
ENSTGUG00000000032	SLC1A6	21	46	42	40	74	118	54.60945277627861	0.9504797316186053	0.496171227129778	1.9156284759132132	0.055412402310967536	0.6582867857339534
ENSTGUG00000000033		94	164	133	56	105	112	109.52994784820311	-0.6877751646876474	0.34583438007761	-1.9887414447727874	0.04672974890303111	0.6061188205212797
ENSTGUG00000000034		58	85	75	41	53	41	58.73835144126061	-0.8729070635751711	0.3585989904458218	-2.4342150614811966	0.014924124928154685	0.3264295860081732
ENSTGUG00000000035		210	432	265	329	495	276	323.3480688082524	0.10158493295526955	0.28024823504207064	0.3624819722415725	0.7169918929439418	0.9993175818296149
ENSTGUG00000000036	SLC37A4	218	376	364	390	452	371	352.04870406597473	0.17786114269564735	0.21580252390166152	0.8241847198075237	0.4098346078966666	0.9993175818296149
ENSTGUG00000000037	CDC23	405	604	625	658	637	519	564.1814973179369	-0.015326963958785036	0.2068950510389892	-0.0740808631323747	0.940946042422535	0.9993175818296149
ENSTGUG00000000038		549	971	803	1043	1087	790	851.1526614189711	0.16665989868909228	0.21020538766153427	0.7928431356737751	0.42786922114782117	0.9993175818296149
ENSTGUG00000000039	HYOU1	1120	2098	1957	1502	1975	1716	1687.575682174028	-0.15263235271345552	0.19912556762434083	-0.7665130828473177	0.4433710704036211	0.9993175818296149
ENSTGUG00000000040	JAKMIP2	1059	1307	1310	1715	1699	1341	1380.7666339959553	0.18694514517910782	0.18803665964916727	0.9941952038921774	0.3201278426196077	0.9993175818296149
ENSTGUG00000000041		55	45	48	97	122	96	75.12569985755577	0.8703335592373359	0.3581095326253156	2.4303557429954044	0.015084009391137276	0.3294021510280789
ENSTGUG00000000042	CHPF2	641	1015	819	674	1046	761	809.4335933107008	-0.18149432085079684	0.20212895490838803	-0.8979135173041213	0.3692316576190811	0.9993175818296149
ENSTGUG00000000043	CZH18orf32	4692	6174	6620	5618	6038	6735	5909.5628963404915	-0.09719670639413308	0.18296013044925052	-0.5312452836334935	0.5952488165927428	0.9993175818296149
ENSTGUG00000000044	RPL17	9533	7682	11525	10956	8512	12726	10181.781143764476	-0.022357642093058558	0.2747932246850836	-0.0813616933921158	0.9351543123195551	0.9993175818296149
ENSTGUG00000000045		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000046		1645	2568	2194	2005	3015	2435	2256.07782402282	0.03788925495803849	0.18386984941251003	0.20606562239051143	0.8367396518115026	0.9993175818296149
ENSTGUG00000000047	DPYSL3	1194	1193	1353	1186	1878	1651	1387.4069743271782	0.12458988626541766	0.2200619617537267	0.566158209590294	0.5712862358201136	0.9993175818296149
ENSTGUG00000000048		320	303	348	376	377	406	352.98898706140096	0.05971796857056504	0.24126448287991564	0.24752076168744827	0.8045052257864681	0.9993175818296149
ENSTGUG00000000049	RPL36	3952	3731	4954	5463	4441	5576	4661.369267315319	0.11100474211568077	0.23636062852105275	0.46964142382873014	0.6386112241271638	0.9993175818296149
ENSTGUG00000000050	PHLDB1	68	80	112	57	119	110	89.14270673573273	-0.052714494246788215	0.37297014146655916	-0.14133703582680665	0.8876036929056578	0.9993175818296149
ENSTGUG00000000051	LMNB2	186	332	261	378	377	364	308.01947558229386	0.3651508643025068	0.22963717154588856	1.5901208930782291	0.11180755734094068	0.8589808623455801
ENSTGUG00000000052		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000053		196	183	190	351	351	347	264.46777596743044	0.6810186076601705	0.253092517480018	2.690789180339707	0.007128322535140465	0.2128579094406292
ENSTGUG00000000054	ASB10	1	4	0	5	7	1	2.7910248799833393	1.2034380328104002	1.6951143735132363	0.7099450347507794	0.47773822192671417	NA
ENSTGUG00000000055	AGAP3	2683	4219	4526	1553	4417	3629	3432.1498186981153	-0.43876828537956075	0.3075690574361707	-1.4265683584591977	0.1537043500492346	0.947188403892457
ENSTGUG00000000056	ARCN1	167	258	191	190	273	202	209.26540430282887	-0.07598207591889453	0.24757201195339254	-0.3069089891033352	0.7589126467541795	0.9993175818296149
ENSTGUG00000000057	TMPRSS9	225	362	642	465	816	1239	600.9968679748538	0.8985181340201132	0.38267053753260216	2.348020152828104	0.01887350010574021	0.3745460930271165
ENSTGUG00000000058		581	735	874	839	1057	964	823.4550671491103	0.20558386037732815	0.19132970856332593	1.074500462688388	0.2825984375119456	0.9993175818296149
ENSTGUG00000000059	IFT46	477	604	905	625	574	962	683.5543219063696	-0.025024225140089187	0.29858419521427765	-0.08380961062634498	0.9332078067313726	0.9993175818296149
ENSTGUG00000000060	TMEM25	46	80	167	64	81	103	88.1534103505589	-0.3714065524170152	0.44664341128560847	-0.8315505009868316	0.4056627116968159	0.9993175818296149
ENSTGUG00000000061	LIPG	71	108	265	42	148	99	118.87691068848638	-0.7938253437976605	0.49553712538593797	-1.6019492851911092	0.10916682463865561	0.8570285096847581
ENSTGUG00000000062	STK32A	10	21	28	23	31	35	23.7722962747974	0.44996252218803395	0.5728558499903785	0.785472509699589	0.4321765820502128	0.9993175818296149
ENSTGUG00000000063	SPPL2B	391	679	636	515	615	629	566.1528206698763	-0.11307762300896755	0.21134343921867618	-0.535042031240755	0.5926207933492664	0.9993175818296149
ENSTGUG00000000064	TTC36	82	98	45	99	128	46	81.7224648536567	0.045237072730609604	0.4602944045953578	0.09827856319560795	0.9217110998579956	0.9993175818296149
ENSTGUG00000000065		863	866	996	956	1313	1038	991.0574005627975	0.07164725807974617	0.20169302371267975	0.35522923282567637	0.7224178663557497	0.9993175818296149
ENSTGUG00000000066	FASTK	351	410	371	246	429	315	351.1197056130101	-0.4036158637394714	0.241559212141247	-1.6708775465928616	0.09474586736924955	0.8186691065097461
ENSTGUG00000000067	LSM7	1081	1507	1479	1402	1893	1691	1476.8985356511453	0.11368707346282887	0.1738863186776667	0.6538011404656323	0.5132399316441036	0.9993175818296149
ENSTGUG00000000068		7	17	23	6	8	27	14.414577566222675	-0.29816141544803015	0.8369622446726999	-0.35624237215697624	0.7216590622359257	0.9993175818296149
ENSTGUG00000000069	PPP2R2B	2139	3575	2704	2004	4047	2196	2706.229676471249	-0.2285324110239129	0.24610131936079405	-0.9286110761920603	0.3530906796189141	0.9993175818296149
ENSTGUG00000000070		177	369	348	438	517	332	350.0191210969814	0.3700260381072975	0.25964535943847394	1.4251209376803038	0.15412224527107926	0.9476379413802796
ENSTGUG00000000071		13	26	24	23	43	123	40.57121845749777	1.4602882621390592	0.647203796552628	2.2563036093381665	0.0240516235113186	0.42110554324892946
ENSTGUG00000000072		12	31	17	27	185	100	56.49493441315027	2.176608351575543	0.6103247278364391	3.566311919380157	3.620404272854929e-4	0.024618749055413516
ENSTGUG00000000073		24	53	25	28	56	45	37.201729815793726	0.16454930621629169	0.49981389442831686	0.32922115221406933	0.7419885361344087	0.9993175818296149
ENSTGUG00000000074		9	9	5	17	13	22	12.334845925145451	0.986730444479482	0.7752565449180943	1.2727792508784688	0.20309638602384772	0.9993175818296149
ENSTGUG00000000075		0	0	0	1	3	0	0.5782025047516275	2.577475159253279	3.9772370641423858	0.6480567081331527	0.5169482730581694	NA
ENSTGUG00000000076	ATP5MG	5617	5157	8219	7945	7318	9112	7156.817987911274	0.18067900695622313	0.24680521165457664	0.7320712789853792	0.46412506293753863	0.9993175818296149
ENSTGUG00000000077		2	9	11	5	14	6	7.365586716664917	0.028868278581401334	0.9958640304088794	0.028988172782532035	0.97687402338389	NA
ENSTGUG00000000078		3	0	1	0	2	7	2.226534663843508	0.8537545914127671	2.0755813332544704	0.41133275662780067	0.6808285535140304	NA
ENSTGUG00000000079	TCERG1	872	927	969	901	1137	1186	988.9775768329033	0.024010619840406013	0.20904142319379268	0.11486058348419716	0.9085556280788066	0.9993175818296149
ENSTGUG00000000080	MARCH2	209	322	292	227	371	296	279.7302954063917	-0.06319602820779244	0.23648243640106506	-0.26723349593969176	0.7892893876030036	0.9993175818296149
ENSTGUG00000000081		129	115	118	68	159	104	115.04837170989016	-0.368786723746482	0.35885697492336943	-1.0276704913572685	0.30410485303008566	0.9993175818296149
