ensembl_gene_id	external_gene_name	Mal7_Exe_shelf	Mal8_Exe_shelf	Mal9_Exe_shelf	Mal7_Exe_HVC	Mal8_Exe_HVC	Mal9_Exe_HVC	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSTGUG00000000001	C2CD2L	52	79	80	36	66	69	63.18733776080505	-0.17409263304903141	0.4087114428671891	-0.42595487864919623	0.6701407250636889	0.9994186938408656
ENSTGUG00000000002	DPAGT1	1653	2023	2278	1453	1823	1854	1836.077626019593	-0.08157483038655293	0.20633154245565397	-0.39535802144301563	0.6925786848267877	0.9994186938408656
ENSTGUG00000000003	EGR1	1397	681	561	258	353	210	559.5117979186148	-1.5909758951656225	0.32766263283867914	-4.855530462483102	1.200648942141097e-6	8.491486139073757e-5
ENSTGUG00000000004	REEP2	170	181	156	139	233	143	167.87545564361503	0.11814843829105845	0.2564002181362529	0.4607969491986685	0.644944290741711	0.9994186938408656
ENSTGUG00000000005		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
ENSTGUG00000000006	PIAS2	1071	1016	1144	828	1056	945	1001.5912198087228	-0.06795960275398473	0.17270752450415996	-0.3934953207690022	0.6939536793331555	0.9994186938408656
ENSTGUG00000000007	KDM3B	729	724	649	622	767	609	677.7105814306449	0.04133245756053103	0.17170342835680646	0.24072004826042587	0.8097720995431673	0.9994186938408656
ENSTGUG00000000008	H2AFX	22	15	14	19	21	15	17.539468526580865	0.21940973108915626	0.6014882866115672	0.36477806130719886	0.715277082868097	0.9994186938408656
ENSTGUG00000000010	HMBS	796	660	666	681	886	609	708.8344286699685	0.1424773141170962	0.17880974171305786	0.7968095739757537	0.4255616339451431	0.9994186938408656
ENSTGUG00000000011		131	71	51	107	98	18	77.37084453542573	-0.1172441003801283	0.5631332300488004	-0.20819957715862028	0.835073138734634	0.9994186938408656
ENSTGUG00000000012		47	46	47	46	40	13	38.875248910611276	-0.410753620041582	0.5018900959392825	-0.8184134800924107	0.4131211270698584	0.9957317585141158
ENSTGUG00000000013		489	385	615	368	461	432	454.09972680969423	-0.10981542802781846	0.23200169909564278	-0.47333889560242837	0.6359714166196452	0.9994186938408656
ENSTGUG00000000014		1596	1626	1841	1523	1766	1208	1572.343283734987	-0.061266393052796894	0.15622453929531413	-0.39216881886259813	0.6949334814978843	0.9994186938408656
ENSTGUG00000000015		0	0	0	0	0	0	0	NA	NA	NA	NA	NA
